word,count
ABOUT,1226734006
OTHER,978481319
WHICH,810514085
THEIR,782849411
THERE,701170205
FIRST,578161543
WOULD,572644147
THESE,541003982
CLICK,536746424
PRICE,501651226
STATE,453104133
EMAIL,443949646
WORLD,431934249
MUSIC,414028837
AFTER,372948094
VIDEO,365410017
WHERE,360468339
BOOKS,347710184
LINKS,339926541
YEARS,337841309
ORDER,336631187
ITEMS,330505325
GROUP,321842984
UNDER,313296421
GAMES,305930896
COULD,302311431
GREAT,301487430
HOTEL,297974790
STORE,291308910
TERMS,277705910
RIGHT,273620358
LOCAL,270742935
THOSE,270014141
USING,269448880
PHONE,256643812
FORUM,254478181
BASED,252405204
BLACK,244690155
CHECK,244491090
INDEX,242826246
BEING,242783091
WOMEN,242520455
TODAY,239271204
SOUTH,238581133
PAGES,234001114
FOUND,232005894
HOUSE,231310420
PHOTO,227125249
POWER,226596368
WHILE,226194991
THREE,223417394
TOTAL,222649459
PLACE,220970235
THINK,217856550
NORTH,217809513
POSTS,216822128
MEDIA,216432510
WATER,215178488
SINCE,214302926
GUIDE,213378807
BOARD,212361059
WHITE,209863729
SMALL,208371878
TIMES,202950880
SITES,202755734
LEVEL,202563642
HOURS,198242904
IMAGE,197874283
TITLE,196676017
SHALL,191963867
CLASS,191087771
STILL,190433487
MONEY,190205072
EVERY,189325890
VISIT,187062316
TOOLS,185555874
REPLY,184777992
VALUE,182061247
PRESS,179652730
LEARN,179428286
PRINT,178250872
STOCK,176295589
POINT,175527859
SALES,173244220
LARGE,165863763
TABLE,165341452
START,161913408
MODEL,161205740
HUMAN,160573748
MOVIE,158421100
MARCH,158281269
YAHOO,155733641
GOING,155284081
STUDY,152978354
STAFF,151553180
AGAIN,150781416
NEVER,149556758
USERS,149320234
TOPIC,149001702
BELOW,145701629
PARTY,144707500
LOGIN,144200144
LEGAL,142048771
ABOVE,141894620
QUOTE,139242226
STORY,138433809
RATES,137089538
YOUNG,136341684
FIELD,135289140
PAPER,134939426
GIRLS,132325396
NIGHT,130531484
TEXAS,129399241
POKER,129054826
ISSUE,128427156
RANGE,128314924
COURT,127719981
AUDIO,127014703
LIGHT,126699632
WRITE,126645151
OFFER,126228968
GIVEN,125542966
FILES,125524478
EVENT,125515260
CHINA,124472054
NEEDS,123595776
MIGHT,123196001
MONTH,123027963
MAJOR,122592252
AREAS,121986327
SPACE,121505269
CARDS,121094522
CHILD,119747393
ENTER,119394206
SHARE,119294241
ADDED,118410414
RADIO,113285624
UNTIL,113090086
COLOR,112965658
TRACK,112385243
LEAST,111229798
TRADE,110086585
GREEN,108287905
CLOSE,107853068
DRIVE,107799371
SHORT,106755242
MEANS,105946662
DAILY,105837757
BEACH,105642682
COSTS,101090970
STYLE,101024266
FRONT,100886343
PARTS,100637505
EARLY,100013194
MILES,100012522
SOUND,100010833
WORKS,98581698
RULES,97658641
FINAL,97649084
ADULT,97583096
THING,97451660
CHEAP,97049762
THIRD,95489240
GIFTS,95412416
COVER,94501729
OFTEN,92551460
WATCH,92006970
DEALS,91189968
WORDS,90910143
LINUX,90854231
JAMES,90535679
HEART,90249265
ERROR,89396475
CLEAR,88447610
MAKES,87829598
INDIA,87391857
TAKEN,87019836
KNOWN,86395556
CASES,86255673
QUICK,85584600
WHOLE,85202530
LATER,84857974
BASIC,84840226
SHOWS,84804638
ALONG,83444756
AMONG,83431590
DEATH,83216831
SPEED,83135749
BRAND,82807581
STUFF,81444510
JAPAN,81110725
DOING,80821946
LOANS,80821333
SHOES,80755612
ENTRY,80717798
NOTES,79958318
FORCE,79199815
RIVER,78843808
ALBUM,77914316
VIEWS,77333335
PLANS,77295630
BUILD,77203075
TYPES,77070740
LINES,76806341
APPLY,76341478
ASKED,75532722
CROSS,74230978
WEEKS,73571749
LOWER,72606927
UNION,72603888
NAMES,71918906
LEAVE,70957750
TEENS,70859771
WOMAN,70613606
CABLE,70082598
SCORE,69315004
SHOWN,68755779
FLASH,68391647
IDEAS,67309657
ALLOW,67052567
HOMES,66753480
SUPER,66703287
CAUSE,65904680
FOCUS,65626732
ROOMS,65453403
VOICE,64600528
COMES,64256803
BROWN,64112042
FORMS,63561604
GLASS,63559754
HAPPY,63471922
SMITH,63357901
THANK,63234550
PRIOR,62949059
SPORT,62683851
READY,62667516
ROUND,61836702
BUILT,61502894
BLOOD,61348302
EARTH,61059905
BASIS,59901425
AWARD,59652161
PETER,59541743
EXTRA,59377307
RATED,59102029
QUITE,58777731
HORSE,58453720
STARS,58352743
LISTS,58249254
OWNER,58189056
TAKES,57784233
BRING,57608074
INPUT,57191675
AGENT,57103658
VALID,57094711
GRAND,56599468
TRIAL,56547673
UNITS,56512308
WROTE,56421594
SHIPS,56365355
METAL,56181783
FUNDS,55721876
GUEST,55293215
SEEMS,55276661
TRUST,55157142
GRADE,54275130
PANEL,53784382
FLOOR,53759851
MATCH,53532481
PLANT,53247607
SENSE,52629633
STAGE,52518330
GOODS,52507183
MAYBE,51895609
SPAIN,51553238
YOUTH,51426255
BREAK,51242970
DANCE,51147967
APPLE,50551171
ENJOY,50141455
BLOCK,49694725
CIVIL,49495349
STEEL,49452604
SONGS,49272598
FIXED,49215402
WRONG,49156828
HANDS,49087727
PARIS,48831449
FULLY,48616832
WORTH,48075237
PEACE,47856201
COAST,47716394
GRANT,47609624
AGREE,47500911
BLOGS,46978262
SCALE,46307526
STAND,46292709
FRAME,46079991
CHIEF,45699591
GIVES,45649146
HEARD,45436523
BEGIN,45434902
ROYAL,45407189
CLEAN,45381752
BIBLE,45080741
SUITE,44829675
VEGAS,44810653
PIECE,44298807
SHEET,44295187
SEVEN,44224906
OLDER,44222089
CELLS,44128080
LOOKS,43897035
CALLS,43661633
WHOSE,43634263
NAKED,43110969
LIVES,42750046
STONE,42494931
TESTS,42336117
BUYER,42024703
LABEL,41359857
CANON,41144763
WASTE,41089558
CHAIR,40764005
PHASE,40722940
MOTOR,40615655
SHIRT,40501964
CRIME,40361756
COUNT,40345803
CLAIM,40085342
PATCH,39999745
ALONE,39326417
JONES,39297134
SAINT,38929141
DRUGS,38827156
JOINT,38827057
FRESH,38781893
DATES,38442243
UPPER,38341510
PRIME,38308402
LIMIT,38290292
BEGAN,38269468
LOUIS,38259201
STEPS,38254292
SHOPS,38241315
CREEK,38159464
URBAN,38087999
TOURS,37957036
LABOR,37866418
ADMIN,37835381
HEAVY,37668153
SOLID,37426444
THEME,37219937
PORNO,36925475
TOUCH,36831035
GOALS,36766773
SERVE,36697856
MAGIC,36676771
MOUNT,36648260
SMART,36636558
AVOID,36508203
BIRTH,36286070
VIRUS,36286003
ABUSE,36269685
FACTS,36041603
FAITH,35936559
CHAIN,35928367
MOVED,35713495
REACH,35687918
SORRY,35595812
GAMMA,35426622
TRUTH,35345925
FILMS,35200065
OWNED,35050234
DRAFT,35033621
CHART,35027490
JESUS,34929061
CLUBS,34881779
EQUAL,34832354
CODES,34503537
KINDS,34482138
TEAMS,34383288
FUNNY,34281806
